iter	AUC	Logloss
0	0.7025746982	0.6739900029
1	0.7081017761	0.6571972781
2	0.7100311737	0.6416226637
3	0.7156560063	0.626429494144	0.7194949429	0.612255153
5	0.7198947788	0.5995485953
6	0.7156298782	0.5894548862
7	0.7176307123	0.5780543923
8	0.7213572793	0.5674993189
9	0.7331923318	0.5566842123
10	0.7348434934	0.5474510828
11	0.7330747266	0.5393429426
12	0.7318986917	0.5328553539113	0.7348358097	0.5249566397114	0.7352422542	0.5176911885115	0.7353543839	0.510914084
16	0.7361552552	0.5045887096117	0.7366456502	0.4986769841118	0.7389019751	0.4931907191119	0.7399202409	0.4885733446220	0.738400927	0.4842235252
21	0.7417615939	0.479375335
22	0.7416978825	0.4755081356
23	0.7428285675	0.4716634419224	0.7435390369	0.4677222941225	0.7427748806	0.4646544647226	0.7435980339	0.4610475015227	0.7418478851	0.4587246083228	0.7425453855	0.4559399336229	0.7429447832	0.4531729728330	0.7424407741	0.4509000906331	0.7428956039	0.4485242864332	0.7431341639	0.4465619456333	0.7431637244	0.4445376963334	0.7433956346	0.4422882392335	0.7427688345	0.4410938013636	0.7438399685	0.43914909
37	0.7445309101	0.4371854624
38	0.7448235541	0.4356775861
39	0.7452177575	0.4339273676
40	0.7470141659	0.4325818646
41	0.7482174786	0.4311033851
42	0.7483288639	0.4297770243
43	0.7484547814	0.428662981
44	0.7485450509	0.4274203165
45	0.7486406801	0.4264285018
46	0.7488880322	0.4254088313
47	0.7495642679	0.424208582
48	0.7499041806	0.4231402392
49	0.7503007496	0.422161018
50	0.7502913207	0.4215032859
51	0.750096936	0.4206384747
52	0.7499655927	0.4199840992
53	0.750046392	0.4194607683554	0.7500616602	0.418939258
55	0.7502072626	0.4183910542
56	0.750370565	0.4176885173
57	0.7505790434	0.4172312157
58	0.7507279129	0.416735421
59	0.7507939484	0.4164735466
60	0.7511833134	0.4159724365
61	0.7512442374	0.4154731758
62	0.7514225351	0.4149329828663	0.7512843269	0.4145514878664	0.7513381545	0.4142108636665	0.7513442337	0.4136635402666	0.7512723257	0.4131725543667	0.7511708573	0.4127381217668	0.751310182	0.4124854045
69	0.7513801463	0.4122301193
70	0.751467918	0.411952015
71	0.7515865735	0.4115966183
72	0.7516651727	0.4113499687
73	0.751687951	0.411150611
74	0.7517096789	0.4107913801
75	0.7516874796	0.4105350273
76	0.7519306465	0.4101607372
77	0.7520164828	0.4100754277
78	0.7520315774	0.4098797393
79	0.752040419	0.4097332436
80	0.752140622	0.4094825457
81	0.7522350602	0.4092544874
82	0.7523557835	0.4091424526
83	0.7524888057	0.4089336572
84	0.7523836567	0.408719801
85	0.7523975933	0.4085526241
86	0.7523378189	0.4083743327
87	0.7523902404	0.4082499628
88	0.7524895418	0.4081216029
89	0.7525625416	0.4079865648
90	0.7526748367	0.407827254
91	0.7527405083	0.4077725047
92	0.7528079334	0.4076049233
93	0.7527242807	0.4073909143
94	0.752712784	0.4072627587
95	0.7527478861	0.4072238031
96	0.752800291	0.4070983986
97	0.7529772405	0.4069739879
98	0.7531405428	0.4068496023
99	0.7533372269	0.4066904467
100	0.7532789826	0.4064772121
101	0.7533600548	0.4064203086
102	0.7534249986	0.4062761723
103	0.7534905213	0.4061008098
104	0.7535353831	0.406066373
105	0.7535566892	0.4058942647
106	0.7536901002	0.4058353859
107	0.7536025932	0.4057303898
108	0.7536525665	0.405653888
109	0.7537246398	0.4056108816
110	0.7537699152	0.4055462514
111	0.7538179779	0.4055132378
112	0.7539018457	0.4054184245
113	0.7540050014	0.405315075
114	0.7539731085	0.4052203213
115	0.7540086241	0.4051100815
116	0.7539895347	0.4049946479
117	0.7541156838	0.4049065441
118	0.7543466097	0.4048173375
119	0.7543845239	0.4047413776
120	0.754539547	0.4046791481
121	0.754476307	0.4045767922
122	0.754602605	0.4044901611
123	0.7548188416	0.4043505549
124	0.7548206116	0.4041954799
125	0.7548746377	0.4040792005
126	0.754881453	0.4039703428
127	0.7549302021	0.403870009
128	0.7549425425	0.4038056497
129	0.7550024078	0.4037400531
130	0.7551591265	0.4036443084
131	0.7552075283	0.4035853915
