iter	Passed	Remaining
0	116	1162773
1	239	1197044
2	348	1161900
3	488	1220538
4	619	1238647
5	722	1203209
6	812	1159971
7	947	1183284
8	1046	1161459
9	1142	1141116
10	1285	1166906
11	1382	1150682
12	1459	1121127
13	1580	1127615
14	1673	1114245
15	1762	1099727
16	1917	1126037
17	2064	1144625
18	2267	1191268
19	2375	1185258
20	2470	1173876
21	2608	1183096
22	2760	1197469
23	2865	1190995
24	2962	1182005
25	3085	1183725
26	3182	1175552
27	3285	1170026
28	3374	1160187
29	3499	1162958
30	3594	1155901
31	3698	1152099
32	3816	1152578
33	3913	1147232
34	4000	1139103
35	4121	1140632
36	4223	1137284
37	4321	1133030
38	4429	1131325
39	4516	1124710
40	4634	1125713
41	4722	1119689
42	4806	1112893
43	4918	1112897
44	5056	1118597
45	5249	1135901
46	5393	1142210
47	5505	1141427
48	5602	1137815
49	5704	1135250
50	5821	1135674
51	5911	1130975
52	6004	1126975
53	6122	1127724
54	6392	1155957
55	6507	1155549
56	6685	1166187
57	6788	1163678
58	6878	1158940
59	6984	1157030
60	7125	1161005
61	7257	1163355
62	7345	1158681
63	7440	1155075
64	7539	1152413
65	7650	1151495
66	7741	1147656
67	7826	1143172
68	7915	1139216
69	8002	1135272
70	8117	1135183
71	8299	1144473
72	8432	1146746
73	8596	1153039
74	8743	1157058
75	8842	1154640
76	8926	1150413
77	9018	1147254
78	9103	1143254
79	9203	1141288
80	9289	1137622
81	9381	1134671
82	9469	1131465
83	9555	1128016
84	9640	1124585
85	9734	1122127
86	9819	1118813
87	9908	1116062
88	10005	1114180
89	10090	1111046
90	10182	1108772
91	10276	1106706
92	10363	1103984
93	10449	1101243
94	10547	1099739
95	10664	1100228
96	10760	1098556
97	10856	1096933
98	10947	1094867
99	11035	1092541
100	11120	1089953
101	11291	1095757
102	11452	1100438
103	11601	1103965
104	11705	1103078
105	11798	1101314
106	11896	1099891
107	11982	1097473
108	12076	1095870
109	12175	1094694
110	12284	1094409
111	12393	1094175
112	12499	1093634
113	12598	1092525
114	12713	1092785
115	12975	1105576
116	13082	1105077
117	13178	1103671
118	13301	1104443
119	13405	1103709
120	13511	1103119
121	13608	1101843
122	13717	1101563
123	13816	1100390
124	13927	1100307
125	14010	1097951
126	14116	1097457
127	14220	1096775
128	14393	1101360
129	14531	1103263
130	14635	1102556
131	14721	1100512
132	14814	1099055
133	14909	1097749
134	14991	1095467
135	15096	1094904
136	15203	1094571
137	15291	1092785
138	15380	1091114
139	15477	1090056
140	15566	1088471
141	15656	1086939
142	15761	1086461
143	15847	1084677
144	15936	1083149
145	16032	1082092
146	16124	1080791
147	16216	1079492
148	16308	1078251
149	16395	1076636
150	16486	1075318
151	16584	1074483
152	16666	1072619
153	16752	1071053
154	16854	1070521
155	16939	1068954
156	17029	1067670
157	17130	1067101
158	17216	1065556
159	17388	1069370
160	17551	1072602
161	17670	1073095
162	17769	1072389
163	17872	1071887
164	17992	1072462
165	18087	1071536
166	18201	1071690
167	18296	1070804
168	18399	1070338
169	18489	1069133
170	18682	1073840
171	18814	1075076
172	18919	1074665
173	19012	1073641
174	19118	1073369
175	19224	1073086
176	19311	1071754
177	19408	1070942
178	19515	1070755
179	19606	1069622
180	19702	1068847
181	19819	1069163
182	19921	1068695
183	20031	1068657
184	20150	1069053
185	20307	1071472
186	20704	1086470
187	20826	1086978
188	20925	1086242
189	21033	1085967
190	21159	1086689
191	21276	1086852
