iter	AUC	Logloss
0	0.6951422736	0.6741464332
1	0.7185391546	0.6561270792
2	0.7144718001	0.6403792427
3	0.7262544768	0.6246070123
4	0.7316266195	0.6100213223
5	0.7324125007	0.5972859483
6	0.7286798703	0.5857829067
7	0.7294537545	0.5744068184
8	0.7307946807	0.563820487
9	0.7328167397	0.5552084308
10	0.7328909055	0.5461607347
11	0.7339658282	0.5372680525
12	0.7341520479	0.5293637748
13	0.7352743555	0.5218836832
14	0.7360721638	0.514837467
15	0.7361729267	0.5083579181
16	0.7370366467	0.5024938649
17	0.737733898	0.4972496963
18	0.737663839	0.4922917399
19	0.7419285462	0.4868970905
20	0.74194597	0.482431223
21	0.7442544527	0.4775834931
22	0.7447776614	0.4733393797
23	0.7450663059	0.4693673126
24	0.745239694	0.4656878956
25	0.7453401627	0.4621353706
26	0.7463876133	0.4584397309
27	0.746140177	0.4563225416
28	0.7465834659	0.4533363545
29	0.7468419764	0.4509336172
30	0.7470335383	0.4484645431
31	0.7476122942	0.4460894704
32	0.7476027312	0.4439321834
33	0.7476069373	0.4421658587
34	0.7476940487	0.4404344276
35	0.747704336	0.4385809959
36	0.7477987235	0.4368982944
37	0.7482382475	0.435818737
38	0.7485181488	0.4344518727
39	0.7484278718	0.4327774725
40	0.7486282137	0.4312346782
41	0.7484795475	0.430074852
42	0.7486035469	0.4289587354
43	0.7486593882	0.4276975039
44	0.7487929249	0.4264697722
45	0.748865723	0.4255548472
46	0.7490281877	0.4245672109
47	0.749064925	0.4238751335
48	0.7489811116	0.4230207194
49	0.7489030485	0.4220935408
50	0.7490402546	0.4212168958
51	0.7489256454	0.4207786992
52	0.7489609929	0.4201973681
53	0.7492975995	0.4193741619
54	0.7493309212	0.4185680576
55	0.7493813394	0.4181318185
56	0.7494523984	0.41770093
57	0.7496587589	0.417098558
58	0.7495580328	0.4166276454
59	0.749582115	0.4161247837
60	0.7496339193	0.4157663905
61	0.7496756863	0.4152347116
62	0.7496730612	0.4148418372
63	0.7497335093	0.4144931789
64	0.7497440834	0.4139396541
65	0.7498064876	0.4135014604
66	0.7497347851	0.4131031025
67	0.7498241209	0.4128505626
68	0.7498732376	0.4125694332
69	0.74994983	0.4121590858
70	0.749923027	0.4118115801
71	0.7499513595	0.4114558488
72	0.7499796257	0.4113606142
73	0.7499805375	0.4111321391
74	0.7499746843	0.4108614286
75	0.7499486498	0.4106141148
76	0.7499453114	0.4103284824
77	0.7498867052	0.4100761414
78	0.7499169054	0.4098336959
79	0.7499469732	0.409544705
80	0.7500148262	0.4094305282
81	0.750059119	0.4093534999
82	0.7501316524	0.409216805
83	0.7502657627	0.4090147462
84	0.7503408035	0.4088075692
85	0.7503669006	0.4085788057
86	0.7504941207	0.4084841054
87	0.7505750774	0.4082675117
88	0.7507075773	0.4080529709
89	0.7507495648	0.4079444472
90	0.7508300545	0.4078720289
91	0.750860865	0.4077773728
92	0.7508669242	0.4076105754
93	0.7509001172	0.4075693182
94	0.750922714	0.4074959849
95	0.7509529068	0.4072742501
96	0.7510280653	0.4072248062
97	0.7511052607	0.4071248011
98	0.7511246074	0.4070654552
99	0.751136461	0.4069588812
100	0.7511957767	0.4068406212
101	0.7512646408	0.4067035643
102	0.7512701411	0.4065942625
103	0.7513131067	0.4065239621
104	0.7513143273	0.4064085194
105	0.7514292601	0.4063370443
106	0.7514714021	0.406218662
107	0.7515276478	0.406153576
108	0.7516105788	0.4060832352
109	0.7517001646	0.4060116327
110	0.7518041555	0.4059308975
111	0.7518394957	0.4058841204
112	0.7518877336	0.4058302851
113	0.7519248165	0.4057895327
114	0.7519795107	0.4056636182
115	0.7520476615	0.4055569923
116	0.7520595592	0.4054380766
117	0.7521257393	0.4053696233
118	0.7521354898	0.4053307372
119	0.7522397602	0.4052560019
120	0.7523323241	0.4052180901
121	0.7523627633	0.4051104148
122	0.7523846762	0.4050643059
123	0.7524071149	0.4049665566
124	0.7524058502	0.404887712
125	0.7523688776	0.4048194898
126	0.7524110637	0.4047789483
127	0.752463846	0.4047543217
128	0.7524821117	0.4046751165
129	0.7525389457	0.4045778165
130	0.7526041772	0.4045448218
131	0.7526744531	0.4044855336
132	0.7528488008	0.4043972338
133	0.7529358865	0.404319411
134	0.7529816684	0.4042781158
135	0.7529637851	0.4042346081
136	0.7530005371	0.4041985547
137	0.7530228839	0.4041074994
138	0.7530404804	0.4040663528
139	0.7530787766	0.4040478115
140	0.753101322	0.4039927709
141	0.7532042173	0.403945043
142	0.7532527494	0.4038999733
143	0.7532591983	0.403833792
144	0.7533131277	0.4037827509
145	0.7533498098	0.4037246874
146	0.7534417854	0.4036851396
147	0.7534870747	0.4036331339
148	0.7536281338	0.403565278
149	0.7537022151	0.4035173334
150	0.7538046472	0.4034777021
151	0.7538067796	0.4034276064
152	0.7538360386	0.4033711908
153	0.753968134	0.4033122968
154	0.7540329243	0.4032604533
155	0.7540331082	0.4032149847
156	0.7541553428	0.403167885
157	0.7542402077	0.4031260599
158	0.7542617824	0.4030713576
159	0.7543422721	0.4030346691
160	0.7543864216	0.402996275
161	0.7544535429	0.4029682123
162	0.7544424467	0.4029212403
163	0.7544679775	0.4028582249
164	0.7545751157	0.4027794544
165	0.7547498826	0.4026923533
166	0.7548283575	0.4026374864
167	0.7549139283	0.4026074307
168	0.7549927341	0.4025567939
169	0.7551115936	0.4024760628
170	0.7551190719	0.4024360238
171	0.7551745602	0.4023911162
172	0.7552591457	0.4023233242
173	0.7553504301	0.402258261
174	0.7553993813	0.4022284421
175	0.7554493841	0.4021879731
176	0.7555218513	0.402159395
177	0.7555362859	0.4021306204
178	0.7556407475	0.4020670887
179	0.7556934415	0.4020115245
180	0.7557247521	0.4019938318
181	0.755769431	0.4019331811
182	0.7558717821	0.4018721963
183	0.7559497129	0.4018339855
184	0.7560289525	0.4017784332
185	0.7560802421	0.4017309793
186	0.756189726	0.4016647489
187	0.7562737673	0.401622881
188	0.7563503671	0.4015760866
189	0.7564831832	0.4015261552
190	0.7566417213	0.4014478177
191	0.7566855031	0.4013868332
