iter	Passed	Remaining
0	41	8011
1	82	7833
2	124	7844
3	168	7901
4	209	7840
5	257	7976
6	336	8901
7	388	8924
8	431	8777
9	491	8942
10	557	9167
11	604	9071
12	646	8904
13	688	8757
14	793	9362
15	876	9644
16	946	9745
17	1030	9960
18	1133	10325
19	1174	10098
20	1216	9906
21	1277	9868
22	1379	10132
23	1427	9993
24	1468	9809
25	1527	9754
26	1571	9602
27	1611	9439
28	1651	9285
29	1690	9129
30	1728	8977
31	1783	8916
32	1822	8781
33	1866	8673
34	1919	8610
35	1961	8498
36	2009	8418
37	2062	8357
38	2108	8272
39	2160	8208
40	2202	8110
41	2259	8071
42	2303	7981
43	2361	7943
44	2404	7856
45	2447	7767
46	2497	7706
47	2550	7651
48	2593	7567
49	2633	7478
50	2678	7405
51	2724	7334
52	2791	7320
53	2834	7242
54	2879	7172
55	2924	7102
56	2980	7058
57	3022	6983
58	3067	6915
59	3109	6841
60	3174	6817
61	3218	6748
62	3263	6681
63	3302	6605
64	3345	6536
65	3383	6459
66	3433	6405
67	3477	6341
68	3524	6283
69	3572	6226
70	3639	6201
71	3683	6138
72	3729	6079
73	3772	6015
74	3865	6030
75	3952	6032
76	4019	6002
77	4090	5977
78	4166	5959
79	4212	5897
80	4253	5828
81	4306	5777
82	4371	5741
83	4417	5679
84	4457	5611
85	4499	5546
86	4567	5511
87	4609	5447
88	4660	5393
89	4712	5340
90	4829	5360
91	4995	5430
92	5124	5455
93	5176	5396
94	5223	5333
95	5267	5267
96	5317	5207
97	5387	5167
98	5435	5106
99	5480	5041
100	5540	4992
101	5603	4944
102	5659	4889
103	5703	4825
104	5751	4765
105	5792	4699
106	5860	4655
107	5903	4591
108	5946	4528
109	5986	4462
110	6025	4396
111	6072	4337
112	6128	4284
113	6176	4226
114	6219	4164
115	6260	4101
116	6362	4078
117	6434	4035
118	6512	3995
119	6585	3951
120	6652	3903
121	6696	3842
122	6746	3784
123	6794	3725
124	6872	3683
125	6954	3642
126	7054	3610
127	7125	3562
128	7193	3512
129	7233	3449
130	7303	3401
131	7348	3340
132	7389	3278
133	7436	3218
134	7479	3157
135	7530	3100
136	7588	3046
137	7634	2987
138	7684	2930
139	7727	2870
140	7798	2820
141	7853	2765
142	7905	2708
143	7947	2649
144	7993	2590
145	8054	2537
146	8094	2477
147	8132	2417
148	8171	2358
149	8209	2298
150	8246	2239
151	8304	2185
152	8350	2128
153	8395	2071
154	8440	2014
155	8479	1956
156	8531	1901
157	8581	1846
158	8625	1790
159	8728	1745
160	8875	1708
161	8973	1661
162	9018	1604
163	9063	1547
164	9128	1493
165	9168	1436
166	9215	1379
167	9253	1321
168	9304	1266
169	9380	1213
170	9436	1158
171	9482	1102
172	9545	1048
173	9587	991
174	9637	936
175	9680	880
176	9721	823
177	9762	767
178	9819	713
179	9856	657
180	9918	602
181	9993	549
182	10080	495
183	10150	441
184	10231	387
185	10323	333
186	10384	277
187	10429	221
188	10470	166
189	10508	110
190	10570	55
191	10607	0
